session_id,src_ip,dst_ip,src_port,dst_port,protocol,start_time,end_time,duration_sec,n_events,unique_src_ips,unique_dst_ips,label_majority,detected_patterns,matched_rules,risk_score,attack_chain_description
192.168.1.70_192.168.1.3_28408,192.168.1.70,192.168.1.3,33858.0,64738,6.0,1970-01-01 07:53:28,1970-01-01 07:57:02,214.0,9,1,1,Benign,,,0,Normális tevékenység
192.168.1.70_192.168.1.90_28715,192.168.1.70,192.168.1.90,62876.228493605566,52960,6.0,1970-01-01 07:58:35,1970-01-01 08:03:35,300.0,383,1,2,Malicious,,,0,Normális tevékenység
192.168.1.70_192.168.1.90_29024,192.168.1.70,192.168.1.90,50536.293583141975,64738,6.7415109963222175,1970-01-01 08:03:44,1970-01-01 08:08:44,300.0,217,1,2,Malicious,,,0,Normális tevékenység
192.168.1.70_192.168.1.90_29325,192.168.1.70,192.168.1.90,36558.0,21,6.0,1970-01-01 08:08:45,1970-01-01 08:13:40,295.0,122,1,2,Malicious,,,0,Normális tevékenység
192.168.1.70_192.168.1.3_29740,192.168.1.70,192.168.1.3,0.0,0,0.0,1970-01-01 08:15:40,1970-01-01 08:19:13,213.0,4,1,1,Benign,,,0,Normális tevékenység
192.168.1.70_192.168.1.3_30046,192.168.1.70,192.168.1.3,32814.0,64738,6.0,1970-01-01 08:20:46,1970-01-01 08:25:37,291.0,8,1,1,Benign,,,0,Normális tevékenység
192.168.1.70_192.168.1.3_30457,192.168.1.70,192.168.1.3,52990.0,64738,6.0,1970-01-01 08:27:37,1970-01-01 08:28:12,35.0,2,1,1,Benign,,,0,Normális tevékenység
192.168.1.70_192.168.1.3_2697169,192.168.1.70,192.168.1.3,35433.0,64738,17.0,1970-02-01 05:12:49,1970-02-01 05:16:29,220.0,7,1,1,Benign,,,0,Normális tevékenység
192.168.1.70_192.168.1.3_2697509,192.168.1.70,192.168.1.3,0.0,0,0.0,1970-02-01 05:18:29,1970-02-01 05:21:05,156.0,4,1,1,Benign,,,0,Normális tevékenység
192.168.1.70_192.168.1.3_2697814,192.168.1.70,192.168.1.3,40628.83192748338,64738,6.0,1970-02-01 05:23:34,1970-02-01 05:26:53,199.0,3,1,1,Benign,,,0,Normális tevékenység
192.168.1.70_192.168.1.3_2698137,192.168.1.70,192.168.1.3,0.0,0,0.0,1970-02-01 05:28:57,1970-02-01 05:32:06,189.0,6,1,1,Benign,,,0,Normális tevékenység
